timestamp_human;timestamp;component;topic;check;check_id;error_sequence_count;error_count;warning_count;success_count;check_count;is_periodic;severity;error_message
2021-10-08 16:23:32.874590397;1.633.703.012.874.590.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;423;845;1267;1688;3800;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:23:33.398768663;1.633.703.013.398.760.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;424;424;0;3377;3801;0;2;Cycletime 133 ms is out the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:33.398885965;1.633.703.013.398.880.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;424;424;0;3377;3801;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:33.544790745;1.633.703.013.544.790.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;424;2517;0;1285;3802;0;0;Timestamps difference 1967.27 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:33.545496702;1.633.703.013.545.490.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;423;846;1267;1689;3802;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:33.735339403;1.633.703.013.735.330.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;424;424;0;3378;3802;0;0;Cycletime 360 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:33.735407829;1.633.703.013.735.400.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;424;424;0;3378;3802;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:34.399734735;1.633.703.014.399.730.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t1;4;1;1;0;3803;3804;0;0;Cycletime 334 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:34.399783134;1.633.703.014.399.780.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;424;424;0;3380;3804;0;0;Cycletime 359 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:34.399768114;1.633.703.014.399.760.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Timestamps deviation t1ros;2;1;3804;0;0;3804;0;2;Timestamps difference 2002.31 ms is not in range of delta 2500 ms +/- 100 ms
